# Hymmnos（塔语）词典 · 共881条 · 来源 github.com/KevinOctavianus/hymmno（HymmnoLexicon 0.3）
# 列：词	词性	英文释义	原作例句	方言（Unknown [Unofficial] = 同好补充的非官方词，优先用官方词）
# 用法：grep -i "wind" 设定/参考/hymmnos词典.tsv   （按英文释义查词）
pak	v.	open (the future)	Was yea ra wael yor pak en ini pat yor  —Chanting the Moon ~Tsukikanade~	Central Standard Note
paks	E.s. II	excitement, nervouseness	Was paks ra kiafa hynne mea  —EXEC_with.METHOD_METAFALICA/.	Central Standard Note
pakz	v.	divide, separate		Cult Ciel Note
papana	n.	rain	sash fwillra ween papana  —EXEC_SPHILIA/.	Cult Ciel Note
papas	n.	belief		Unknown [Unofficial]
papulipua	verb	worry, bother		Unknown [Unofficial]
parce	n.	evidence, proof		Central Standard Note
parge	v.	to cut loose (in the case of magic) (Note	It isn't used to refer to a physical phenomenon, rather, it's for situations were magic is being used): Wee ki ra parge yor ar ides  —EXEC_LINKER	Cult Ciel Note
parith	adj./n.	honest, sincere		Cult Ciel Note
pat	v.	release, set free	Was yea ra wael yor pak en ini pat yor  —Chanting the Moon ~Tsukikanade~	Cult Ciel Note
paul	v.	feel, sense	walasye near enesse mea paul li ciel  —Colors~SEN~Will This Flower Bloom?	Cult Ciel Note
pauwee	n.	child of power		Metafalss Note
pauwel	n.	power	Was yea ra pauwel en wael yor  —EXEC_SPHILIA/.	Metafalss Note
pawr	noun	power, strength		Unknown [Unofficial]
pecee	v.	hatch (egg), incubate		Central Standard Note
phira	n.	seed, kind	Rhaplanca selena phira  —EXEC_METAFALICA/.	Metafalss Note
phiz	noun	body		Cult Ciel Note
phyue	n.	congratulations		Central Standard Note
pic	v.	realize, take aback		Central Standard Note
pikca	n.	fruit, nut		New Testament of Pastalie
pilt	v.	realize		Cult Ciel Note
pipel	adj./n.	pipe, cylindrical		Central Standard Note
pipit	adj.	only, merely, a little		New Testament of Pastalie
pirtue	n.	spirit, ghost		Metafalss Note
pitod	adv.	beside, together	Vinan wis pitod re beja  —Colors~SEN~Will This Flower Bloom?	Cult Ciel Note
plina	n.	greenery (plants) (Note	Used only for talking about green plants): rivire plina fayra clalliss sphilar  —Colors~SEN~Will This Flower Bloom?	Central Standard Note
poe	n.	seed, kind	x. rre rhaplanca t.n.m.n. poe ess gkgul doodu  —METHOD_METAFALICA/.	New Testament of Pastalie
polon	n.	loneliness, solitude	van yor jyel der polon  —EXEC_VIENA/.	Cult Ciel Note
pomb	v.	give birth, create	Hymmnos oz faura pomb na omnis den accrroad  —EXEC_HARMONIOUS_FUSION/.	Central Standard Note
pono	n.	egg		Central Standard Note
pop	n.	bubble		New Testament of Pastalie
porter	v.	wear (clothes)		Central Standard Note
prasrity	n./v.	prosperity, prosper	Was yea ra prasrity  —EXEC_HIBERNATION/.	Central Standard Note
presia	adv.	may it be so, would you please do ~, please ~	presia aterra cremia sos viuy lonfa  —EXEC_CHRONICLE KEY	Metafalss Note
prooth	n.	blood		Cult Ciel Note
pruna	adj.	funny		Unknown [Unofficial]
ptrapica	n.	treasure		Cult Ciel Note
ptrapile	n.	autumn		Cult Ciel Note
pupe	n.	tear, teardrop		New Testament of Pastalie
pyuf	verb	head for, head to		Unknown [Unofficial]
q.g.s.	E.v.	end, finish		Pastalie [Unofficial]
q.l.s.	E.v.	shake tremendously	x. rre h.m.m.r. byui q.l.s. du sechel  —METHOD_REPLEKIA/.	Pastalie [Unofficial]
qejyu	n.	people, humanity (Notes	Preceeded by an "E" emotion vowel, the meaning changes to "lover" and "wife/husband". Preceeded by an "YE" emotion vowel, the meaning changes to "family, relatives, friends". Preceeded by an "LYE" emotion vowel, the meaning changes to "the grand family of humankind".): x. rre qejyu ssvid hiralg ag xevxl  —METHOD_METAFALICA/.	New Testament of Pastalie
qoga	n.	end, ending	x. rre vonn papana f.p.n. ut kvyeire qoga iem  —EXEC_over.METHOD_SUBLIMATION/.~lamenza	Unknown [Unofficial]
qraffa	n.	leaf	x. rre sefanl s.n.k.k. aje qraffa  —EXEC_over.METHOD_SUBLIMATION/.~omness chs ciel sos infel	New Testament of Pastalie
quals	verb	revive, resurrect		Unknown [Unofficial]
quel	E.s. II	earnestness, desperation	Was quel erra chs lusye eazas  —EXEC_VIENA/.	Central Standard Note
quen	v.	give birth, create	en sorr quen art ftt omnis crudea  —EXEC_over.METHOD_SUBLIMATION/.~omness chs ciel sos infel	Central Standard Note
quesa	n.	thing that shakes the earth, thunder, lightning	x. rre h.m.m.r. a.u.k. zess quesa  —METHOD_REPLEKIA/.	Central Standard Note
quivale	n.	winter		Cult Ciel Note
quive	n/v.	silence, quietness	ciel ar celle weak ar quive  —Colors~SEN~Will This Flower Bloom?	Cult Ciel Note
quowjaz	n.	justice, righteousness		Cult Ciel Note
r.f.m.	E.v.	see, watch		New Testament of Pastalie
r.f.r.m.	E.v.	know, recognize		New Testament of Pastalie
r.l.t.y.	E.v.	revive, resurrect, rebirth	x. rre mao y.z.t. en y.z.t. za rre arhou r.l.t.y. ess qejyu  —METHOD_METAFALICA/.	Pastalie [Unofficial]
r.w.	E.v.	help, rescue		New Testament of Pastalie
ra	E.s. III	I want this to last	Was yea ra chs ieeya fhyu en xest eazas yanyaue yor xest 1x1101101001100110111000 >> syec mea  —EXEC_with.METHOD_METAFALICA/.	Central Standard Note
race	n./v.	(wreathe a) necklace, to wreath		Central Standard Note
raklya	v.	cry, weep	art crudea en raklya art idesy memora  —EXEC_over.METHOD_SUBLIMATION/.~omness chs ciel sos infel	Cult Ciel Note
rana	v.	run, dash	chs bister en rana anw dor  —EXEC_over.METHOD_SUBLIMATION/.~omness chs ciel sos infel	Central Standard Note
rannef	n.	reward		Central Standard Note
rasse	v.	to yell	rasse rasse rasse rasse rasse rasse en rana  —EXEC_PHANTASMAGORIA/.	Central Standard Note
raudl	n.	form, shape		New Testament of Pastalie
rawah	n.	flower		New Testament of Pastalie
re	pre	(passive verb prefix)	Whai yorr re heighte so  —EXEC_SPHILIA/.	Central Standard Note
reen	v.	hear, listen	Wee yea ra reen harton yos warma hynne reen yos warma hynne  —Eternally Bonded	Central Standard Note
repoear	n.	thanks, gratitude		Central Standard Note
reta	pre.	Please...		New Testament of Pastalie
rete	n./v.	forget, forgetfulness, oblivion	Harr paul whai herra rete ieeya so  —EXEC_METAFALICA/.	Cult Ciel Note
revatail	n.	Reyvateil (an artificial life form)	Was ki ra revatail whou Metafalica crushue Mule  —EXEC_HARMONIOUS	Metafalss Note
reveris	n.	dream demon, nightmare, delusion	Wee i ga vit anw reveris enrer  —EXEC_VIENA/.	Central Standard Note
revm	n.	dream	Sos yor yanje revm na endia revm yehah revm  —EXEC_HARMONIOUS_FUSION/.	Central Standard Note
ridalnae	adj.	irreplaceable		Metafalss Note
rifaiah	adjective, adverb	borne of revival		Unknown [Unofficial]
rifaien	v.	resurrect, revive	Presia metafalica rifaien tou yor sphilar  —EXEC_HARMONIOUS	Metafalss Note
rinc	v.	synchronize, feel the same	Rrha yea ra rinc en echrra yor rre walasye jyel got ieeya  —Singing Hill - Harmonics FRELIA	Unknown [Unofficial]
riomo	v.	to give a, to present a (thing, condition, state)	herra pagle harr riomo hueaf  —EXEC_METAFALICA/.	Cluster Note
rippllys	n./v.	reply, answer	whai yorr na rippllys mea  —EXEC_HARMONIOUS_FUSION/.	Central Standard Note
riura	noun	face, facial expression		Unknown [Unofficial]
rivire	n.	river	rivire plina fayra clalliss sphilar  —Colors~SEN~Will This Flower Bloom?	Central Standard Note
riya	n.	sincerity		Unknown [Unofficial]
rol	conj.	as if, like	Rrha yea ra dsier yor rol clemezen  —EXEC_DESPEDIA/.	Central Standard Note
roon	noun	mansion		Unknown [Unofficial]
rooshellan	noun	cradle		Unknown [Unofficial]
rosa	n.	rose, rose petal	rudje en rudje rosa  —EXEC_HARMONIOUS_FUSION/.	Central Standard Note
rre	pre	(subject marker)	x. rre exali sarr w.r.m. anw sphaela  —METHOD_IMPLANTA/.	Central Standard Note
rudje	adj./n.	red, scarlet, crimson	rudje en rudje rosa  —EXEC_HARMONIOUS_FUSION/.	Central Standard Note
ruinie	v.	destroy	Rrha yea ra ruinie omnis yor  —EXEC_DESPEDIA/.	Central Standard Note
ruinien	n.	destruction	Hyear Ma num ra gyusya yorr ee Dia oz ruinien  —EXEC_DESPEDIA/.	Unknown [Unofficial]
rum	n.	flame	Presia yehar zadius rum ferda yor der sarla mea  —EXEC_HARMONIOUS	Unknown [Unofficial]
ryewa	adj.	overgrown	ar w.r.l. du cia dn ryewa keg  —METHOD_METAFALICA/.	New Testament of Pastalie
ryushe	verb	depart on a journey		Unknown [Unofficial]
ryusse	n.	journey, trip		Cult Ciel Note
s.l.	E.v.	believe, trust	x. rre s.l. sphaela arhou  —METHOD_REPLEKIA/.	New Testament of Pastalie
s.l.y.	E.v.	give, award, convey	sev x. rre yorr s.l.y. nafan mea  —METHOD_METAFALICA/.	Pastalie [Unofficial]
s.n.k.k.	E.v.	bud (plant)	x. rre s.n.k.k. mirie ag h.m.m.r. eje  —METHOD_REPLEKIA/.	New Testament of Pastalie
s.s.w.	E.v.	say, speak, inform		New Testament of Pastalie
sa	n.	karma		Central Standard Note
saash	n.	God, gods	Rrha ki ra sarrifis mea noes tes inferiare saash  —EXEC_SOL=FAGE/.	Central Standard Note
sabl	n.	sand	ween sabl den fandel sabl  —EXEC_METAFALICA/.	Central Standard Note
sacra	n.	blood	der sacra rol fau ween leaff  —EXEC_HARMONIOUS_FUSION/.	Unknown [Unofficial]
sallogna	v.	lie down, stretch, rest		Central Standard Note
sanctum	n.	ark	spiritum sanctum  —EXEC_METAFALICA/.	Central Standard Note
sar	n.	sky (Note	Word crafted by Shurelia for Phantasmagoria, because of the problem that represented the use of "ciel" given its two meanings).: Wee yea ra enne ar sar Wee yea ra enne ar dor  —EXEC_PHANTASMAGORIA/.	Alpha Note (EOLIA)
sara	n.	grass	sara dorn fhyu hymma  —Singing Hill	Central Standard Note
sarla	n.	song	fwilla selena yasra sarla  —Colors~SEN~Will This Flower Bloom?	Metafalss Note
sarr	n.	sunlight, radiance	v.s.k. sarr arhou nafa infel  —EXEC_with.METHOD_METAFALICA/.	New Testament of Pastalie
sarrifis	v.	offer (a sacrifice)	was ki ra yorra sarrifis anw omnis noes Wassee  —EXEC_over.METHOD_SUBLIMATION/.~omness chs ciel sos infel	Central Standard Note
sarsa	n.	rain		New Testament of Pastalie
sash	v.	scatter	sash fwillra ween papana  —EXEC_SPHILIA/.	Unknown [Unofficial]
sasye	n.	girl, young woman	Ides rre sasye Rhaplanca  —EXEC_METAFALICA/.	Central Standard Note
savath	v.	surge, gush out		Cult Ciel Note
sechel	n.	city	x. rre h.m.m.r. byui q.l.s. du sechel  —METHOD_REPLEKIA/.	New Testament of Pastalie
sefanl	n.	forest	ag t.n. za v.t. dn balduo sefanl  —EXEC_over.METHOD_SUBLIMATION/.~omness chs ciel sos infel	New Testament of Pastalie
selena	v.	play (a instrument)	fwilla selena yasra sarla  —Colors~SEN~Will This Flower Bloom?	Metafalss Note
sephaje	n.	creation of the world		Unknown [Unofficial]
sev	conj.	at the time of ~, when ~	sev x. rre yorr s.l.y. nafan mea  —METHOD_METAFALICA/.	New Testament of Pastalie
sguela	adjective	precious, important		Unknown [Unofficial]
shazra	n.	thorny vine, thorn, thorny shrub (Note	Used only for plants that have thorns): Rrha paks ra chs shazra cause yor  —EXEC_DESPEDIA/.	Central Standard Note
sheak	n.	sun	fayra en kapa weak en sheak  —EXEC_METAFALICA/.	Cult Ciel Note
sheaken	n.	left		Unknown [Unofficial]
shefra	n.	creation of the world		Unknown [Unofficial]
shell	n.	(inside a) shell	Yorr ween shell  —EXEC_SPHILIA/.	Unknown [Unofficial]
shellan	n.	birdcage, cage, basket, pen	ween shellan yorra accroad mea sarla oz enne  —EXEC_HARMONIOUS_FUSION/.	Metafalss Note
shen	n.	light	x. sorr d.r.s.n. sarla vl shen  —METHOD_METAFALICA/.	Central Standard Note
shyun	adjective, noun	sadness, grief		Unknown [Unofficial]
sial	adj.	a bit, a little	Was ki ra na fogabe anw sial gyaje  —EXEC_over.METHOD_SUBLIMATION/.~omness chs ciel sos infel	Central Standard Note
siance	n.	holy land, sanctuary, utopia		New Testament of Pastalie
siann	n.	light (Note	if it's preceeded by a "LYA" emotion vowel, its meaning changes to "Maiden of Homura"): x. harr t.h.s. siann  —METHOD_REPLEKIA/.	New Testament of Pastalie
sielp	n.	brook, murmur	chs hasyu en zassyen der sielp  —EXEC_over.METHOD_SUBLIMATION/.~omness chs ciel sos infel	Central Standard Note
sik	v.	leave, move away from		Cult Ciel Note
siss	v.	erase, put out, eliminate	na siss cupla  —EXEC_SPHILIA/.	Unknown [Unofficial]
skit	v.	promise		Cult Ciel Note
slep	v.	sleep	Ma num ra slep faura etealune na dauan  —EXEC_HIBERNATION/.	Central Standard Note
slepir	v.	put to sleep, stop (an activity)	Rrha num ra slepir etealune na near na morto ciel  —EXEC_HIBERNATION/.	Metafalss Note
so	conj.	in such a way, so much	Yorr faf so  —EXEC_SPHILIA/.	Unknown [Unofficial]
soare	n.	song, prayer	Wee ki ra araus tes soare en giue mea iem  —EXEC_CHRONICLE KEY	Unknown [Unofficial]
sol	v.	(daylight) shines, shine down brilliantly (Note	However, the phrase "Sol Ciel" refers to the region of the first Ar tonelico tower, and was to be used as the name of the world. It's because there was already a phrase in Central Standard Note for this world, "Ar Ciel", that "Sol Ciel" ended becoming only the name of the region of the first tower. That region owes its name to the Ancient Metafalss Note.): Was yea erra chs sheak en sol anw yeal  —EXEC_VIENA/.	Metafalss Note
sonwe	v.	sing	Was yea ra sonwe infel en yor  —Reisha's Lullaby	Metafalss Note
sor	pro.	that	Synk sor al memora en knawa Ar tonelico  —EXEC_LINKER	Central Standard Note
sorr it	conj.	it's that way		
sorra it	conj.	in those ways,		
sos	conj.	for, because of, for the sake of	Wee ki ra chs Chronicle Key en grandee sos dius yor  —EXEC_CHRONICLE KEY	Central Standard Note
sosar	n.	magic, magical power (Note	Even if the magic that manifests through Hymmnos is called "maya", actually the spells have a much more specialized image. "maya" has a nuance of miracles made by the power of the gods, while sosar... its more similar to standard sorcery).: Was yea ra enne en crushue gyen METAFALICA ee sosar  —Singing Hill - Harmonics FRELIA	Central Standard Note
sphaela	n.	world	x. rre exali sarr w.r.m. anw sphaela  —METHOD_IMPLANTA/.	New Testament of Pastalie
sphilar	n.	mind, spirit	l.n.c.a. w.w.j.n.c. syec sphilar  —jy ra cc ci ce je xa jy r acc ci ce je xa rcc jy ra cc ar foul	Metafalss Note
spiritum	adj./n.	soul, of the soul	Wee yea ra hymme spiritum  —Singing Hill - Harmonics FRELIA	Central Standard Note
spitze	n.	freedom		Central Standard Note
ssvid	v.	outlive	x. rre qejyu ssvid hiralg ag xevxl  —METHOD_METAFALICA/.	Unknown [Unofficial]
stel	v.	take, steal, snatch away (Note	Used when one takes something from other person by force. Used usually by the one that lost the stolen thing): Rrha wol ra stel naja getrra faura anw dornpica  —EXEC_HIBERNATION/.	Central Standard Note
stelled	v.	compete, struggle for (Note	Used for fierce battles or competitions. Used usually by the loser.)	Central Standard Note
suwant	v.	save, rescue, help	Was paks ga suwant mea irs here an yor  —EXEC_with.METHOD_METAFALICA/.	Central Standard Note
swant	v.	help, save, rescue		Central
syalea	n.	decision, resolve	w.w.j.n.c. syalea en zz kvvia  —METHOD_METAFALICA/.	Unknown [Unofficial]
syana	noun, verb	echo, resound		Unknown [Unofficial]
syast	v.	congregate, gather	Wee yea ra hymme hymmnos harmon en syast et wi powel  —Singing Hill - Harmonics FRELIA	Central Standard Note
syec	n.	abyss, depths (Note	Not used to refer to a physical abyss, but rather to a mental one. This word is usually used to represent the Soulspace).: yehar werllra ween syec mea  —Colors~SEN~Will This Flower Bloom?	Cult Ciel Note
syezo	noun	soup		Unknown [Unofficial]
synk	v.	overlap, pile up	Was yea ra Rrha synk sphilar yor en mea exec hymme METAFALICA  —EXEC_with.METHOD_METAFALICA/.	Central Standard Note
syunaht	verb	dissolve, scatter, vanish		Cult Ciel Note
t.h.s.	E.v.	go outside	x. harr t.h.s. siann  —METHOD_REPLEKIA/.	Pastalie [Unofficial]
t.k.d.	v.	reach	y.z.t. za rre vega f.s. t.k.d. ag zz t.k.d. tie hartes yor  —METHOD_METAFALICA/.	New Testament of Pastalie
t.n.	v.	stop, end	ag t.n. za v.t. dn balduo sefanl  —EXEC_over.METHOD_SUBLIMATION/.~omness chs ciel sos infel	New Testament of Pastalie
t.n.m.n.	v.	scatter (seeds), (to) plant	x. rre rhaplanca t.n.m.n. poe ess gkgul doodu  —METHOD_METAFALICA/.	New Testament of Pastalie
t.r.m.	v.	develop, make bloom, realize	t.r.m.  —jy ra cc ci ce je xa jy r acc ci ce je xa rcc jy ra cc ar foul	New Testament of Pastalie
tafane	adj.	glittering, sparkling	x. harr m.r.r. aje tafane sphaela  —METHOD_REPLEKIA/.	Pastalie [Unofficial]
talam	adj.	dawn's color	x. rre cia n.m.l. ut talam ag f.r.l. du tussu  —EXEC_over.METHOD_SUBLIMATION/.~omness chs ciel sos infel	New Testament of Pastalie
tanta	v.	dance		Central Standard Note
tapa	n.	water		New Testament of Pastalie
tarfe	v.	stop, halt	en tarfe tou yos maun  —EXEC_over.METHOD_SUBLIMATION/.~omness chs ciel sos infel	Central Standard Note
targue	conj.	even if ~ is the case	targue rre qejyu z.z.x.  —EXEC_over.METHOD_SUBLIMATION/.~omness chs ciel sos infel	New Testament of Pastalie
tasyue	v.	offer, sacrifice	Rrha ki ra tasyue murfanare sos saash  —EXEC_SOL=FAGE/.	Metafalss Note
tatakaria	noun	existences, beings, lives		Unknown [Unofficial]
tek	v.	Go	Rrha ki ra tek wim tes yor  —EXEC_LINKER	Central Standard Note
tes	conj.	at ~, to ~	Was paks ra neia bautifal faura tes dornpica  —EXEC_HIBERNATION/.	Central Standard Note
teyys	v.	halt, remain, exist, stay (Note	Equivalent to the English "stay"): Ma num ra teyys ween syec oz wase en noglle guatrz ee  —EXEC_DESPEDIA/.	Central Standard Note
ther	conj.	that		Central Standard Note
tictim	v.	control, operate, do as one pleases	Ma num ra tictim yorr wis kneet hueaf van yorr zaffur  —EXEC_DESPEDIA/.	Central Standard Note
tie	conj.	in regards to... (specifying a subject)	Haaa tie yor ini en nha parge yor ar foul ciel  —jy ra cc ci ce je xa jy r acc ci ce je xa rcc jy ra cc ar foul	New Testament of Pastalie
tienar	adverb	without stopping, without end		Unknown [Unofficial]
tilanta	verb	flow into		Unknown [Unofficial]
tim	n.	time	Whalt tim 0 chs Diasee  —EXEC_LINKER	Unknown [Unofficial]
titia	n.	good will, innate goodness of man	x. rre w.r.m. maen a.u.k. zess titia  —METHOD_REPLEKIA/.	New Testament of Pastalie
titil	n.	small things, accesories	titil yehah presia yorr wis yehah presia yanje  —EXEC_HARMONIOUS_FUSION/.	Cult Ciel Note
titilia	adj.	small, little, tiny	Presia chanti ee tes titilia manaf hyear  —Colors~SEN~Will This Flower Bloom?	Cult Ciel Note
toe	adjective, verb	rise above, stand over		Unknown [Unofficial]
tonelico	n.	divine tree, (possible alternate meaning	tower): Synk sor al memora en knawa Ar tonelico  —EXEC_LINKER	Unknown [Unofficial]
tou	conj.	at ~, in ~, to ~	Presia metafalica rifaien tou yor sphilar  —EXEC_HARMONIOUS	Central Standard Note
touwaka	E.s. II	wishful, hiding wishes in my heart	Nnoi crown touwaka arsye yor  —The Heart Speaks	Central Standard Note
trina	verb	notice, become aware		Unknown [Unofficial]
ttu	conj.	in order to do ~		New Testament of Pastalie
ture	n.	bonds	Ridalnae ture inferiare manaf  —EXEC_HARMONIOUS	Unknown [Unofficial]
tussu	n.	change	x. rre cia n.m.l. ut talam ag f.r.l. du tussu  —EXEC_over.METHOD_SUBLIMATION/.~omness chs ciel sos infel	New Testament of Pastalie
tyui	adj.	Small, little, tiny	x. rre sarr m.n.g. du tyui lyuma  —EXEC_over.METHOD_SUBLIMATION/.~omness chs ciel sos infel	New Testament of Pastalie
tyuss	adj.	tender, kind	y.y. en tyuss vl omness  —METHOD_METAFALICA/.	Pastalie [Unofficial]
ugi	v.	decide	Den crown ugi arsye mea  —The Heart Speaks	Cult Ciel Note
uje	adj.	cruel, evil		Unknown [Unofficial]
ujes	n.	ill will	x. sorr m.r.r. du daedu ag ujes  —METHOD_REPLEKIA/.	New Testament of Pastalie
unloee	v.	prostrate before		Central Standard Note
urgn	n.	grief, lamentation	x. rre urgn zz t.k.d. ut glansee  —EXEC_over.METHOD_SUBLIMATION/.~omness chs ciel sos infel	New Testament of Pastalie
urr	v.	(something unseen) appears, manifests, incarnates	yehar hyear Rrha num ra urr innna mea  —EXEC_METAFALICA/.	Central Standard Note
ut	conj.	at ~, to ~ (Note	Equivalent to the English "to"): x. harr n.t.n. hymmnos ut ouvyu  —METHOD_REPLEKIA/.	New Testament of Pastalie
uteu	v.	doze off	was yea ra wael yorr uteu enw fernia  —EXEC_over.METHOD_SUBLIMATION/.~omness chs ciel sos infel	Cult Ciel Note
v.a.	v.	produce, craft		New Testament of Pastalie
v.s.k.	v.	sense physically, feel, experience	x. harr v.s.k. dazua  —METHOD_REPLEKIA/.	New Testament of Pastalie
v.t.	v.	live	ag t.n. za v.t. dn balduo sefanl  —EXEC_over.METHOD_SUBLIMATION/.~omness chs ciel sos infel	New Testament of Pastalie
vaffa	verb	clear away, sweep away		Unknown [Unofficial]
vale	noun	bed		Unknown [Unofficial]
valwa	v.	purify	Was yea ra sonwe sos yor en valwa anw ciel  —EXEC_over.METHOD_SUBLIMATION/.~omness chs ciel sos infel	Central Standard Note
vamue		(unknown meaning)		
van	conj.	even if ~, even should ~ happen	van fandel wis lurrea  —EXEC_HARMONIOUS	Metafalss Note
varda	n.	big tree	x. rre poe h.w.s.s. ut varda  —METHOD_METAFALICA/.	Metafalss Note
vega	n.	here, this	vega ouvyu giz sphaela  —METHOD_REPLEKIA/.	New Testament of Pastalie
vege	n.	there, that	x. rre vege dgal a.u.k. zz papana  —METHOD_METAFALICA/.	New Testament of Pastalie
vianchiel	n./adj.	pure, undefiled, clean, beautiful	cest yor vianchiel ween ganna shell  —EXEC_SPHILIA/.	Metafalss Note
viega	n.	blade, sword	Van fandel viega heighte mea  —EXEC_HARMONIOUS	Metafalss Note
vigiga	adjective, noun	cold		Unknown [Unofficial]
vinan	n./adj.	white	Den here irs ar vinan frawr ween titilia shellan  —EXEC_HARMONIOUS_FUSION/.	Central Standard Note
vine	n.	alcohol, liquor, wine (Note	general pronoun for alcoholic beverages): llizz discest vine den kuhle  —The Heart Speaks	Central Standard Note
viss	v.	read, read between the lines		Central Standard Note
vit	v.	see, watch	Wee i ga vit anw reveris enrer  —EXEC_VIENA/.	Cult Ciel Note
viuy	adj.	darkened	presia aterra cremia sos viuy lonfa  —EXEC_CHRONICLE KEY	Unknown [Unofficial]
vl	conj.	since, from, in	y.y. en tyuss vl omness  —METHOD_METAFALICA/.	Unknown [Unofficial]
vonn	n./adj.	dark, darkness	x. rre vonn papana f.p.n. ut kvyeire qoga iem  —EXEC_over.METHOD_SUBLIMATION/.~lamenza	Central Standard Note
w.f.	v.	want to do ~		New Testament of Pastalie
w.h.h.	v.	feel, sense		New Testament of Pastalie
w.n.s.	v.	visit, echo	w.n.s. rhaplanca ween fandel walasye  —EXEC_with.METHOD_METAFALICA/.	New Testament of Pastalie
w.r.l.	v.	aim at, have an eye on	ar w.r.l. du cia dn ryewa keg  —METHOD_METAFALICA/.	New Testament of Pastalie
w.r.m.	v.	shine on, illuminate	x. rre w.r.m. maen a.u.k. zess titia  —METHOD_REPLEKIA/.	New Testament of Pastalie
w.s.	v.	give	x. rre m.t.y.y. giz w.s. du giz  —METHOD_REPLEKIA/.	New Testament of Pastalie
w.s.s.	v.	praise		Pastalie [Unofficial]
w.w.j.n.c.	v.	resound, sympathize	w.w.j.n.c. yor en m.t.y.y. hymmnos ut eje  —METHOD_METAFALICA/.	New Testament of Pastalie
wa	E.S.III	it doesn't matter - I will accept things the way they are now	Ma num wa nnoini li fhyu  —Colors~SEN~Will This Flower Bloom?	Central Standard Note
waa	E.S.II	happy		Metafalss Note
waath	v.	revive, rebirth	Fou yea ra waath ar ciel en hymme mea weel nepo en keen ar sar  —EXEC_PHANTASMAGORIA/.	Central Standard Note
waats	adj.	important		Central Standard Note
wael	n./v.	joy, delight	Was yea ra pauwel en wael yor  —EXEC_SPHILIA/.	Central Standard Note
walaen	n.	(human) life		Cult Ciel Note
walaka	v.	walk		Central Standard Note
walasye	n.	human, people	Rrha yea ra rinc en echrra yor rre walasye jyel got ieeya  —Singing Hill - Harmonics FRELIA	Cult Ciel Note
walphish	n.	mermaid, merman (Note	A god/dess that used to live in the oceans during the First Era)	Cult Ciel Note
warce	v./n.	bless(ing), celebration		Central Standard Note
ware	conj.	during ~, in the middle of ~		Central Standard Note
warma	adj.	warm	Wee yea ra reen harton yos warma hynne reen yos warma hynne  —Eternally Bonded	Central Standard Note
wart	n.	word	Was yea ra frreie yor wart en chs manaf an yor  —EXEC_LINKER	Central Standard Note
wasara	adj./n.	abundant, abundance	Wee ki ra chs wasara dor en xest eazas yanyaue yor xest 1x1101101001100110111000 >> syec mea  —EXEC_with.METHOD_METAFALICA/.	Central Standard Note
wase	adj./n.	strong, intense	Ma num ra teyys ween syec oz wase en noglle guatrz ee  —EXEC_DESPEDIA/.	Cult Ciel Note
wassa	n.	festival, feast	Rrha ki ga gran wael wassa  —EXEC_SOL=FAGE/.	Cult Ciel Note
wassee	v.	praise	wassee anw fane lusye  —EXEC_over.METHOD_SUBLIMATION/.~omness chs ciel sos infel	Unknown [Unofficial]
watt	v.	surprise, scare		Cult Ciel Note
waze	conj.	too much	Rrha yea ra infel yor waze waze  —EXEC_DESPEDIA/.	Unknown [Unofficial]
we	conj.	even more than ~		Central Standard Note
weak	n.	moon	fayra en kapa weak en sheak  —EXEC_METAFALICA/.	Central Standard Note
weaken	n.	right		Unknown [Unofficial]
weal	adj./E. s. II	happy, glad	weal acra yorr chanti mea  —EXEC_HARMONIOUS_FUSION/.	Unknown [Unofficial]
wearequewie	v.	wish, desire, pray, request for, hope for		Metafalss Note
weel	v.	Come true!, Be realized!	Fou yea ra waath ar ciel en hymme mea weel nepo en keen ar sar  —EXEC_PHANTASMAGORIA/.	Central Standard Note
ween	conj.	inside of ~, in ~ (particle to indicate current condition) (Note	Equivalent to the English "in", though it's not always necessary, depending on the context): ween sabl den fandel sabl  —EXEC_METAFALICA/.	Central Standard Note
wefa	adj.	warm, mild	x. rre govan en wefa sarla f.w.r.n. du dje  —METHOD_METAFALICA/.	Pastalie [Unofficial]
werllra	n.	tear, drop	yehar werllra ween syec mea  —Colors~SEN~Will This Flower Bloom?	Metafalss Note
werlwe	v.	cry, shed tears	Faura werlwe titilia en sonwe sos marta  —EXEC_HARMONIOUS_FUSION/.	Metafalss Note
whai	conj.	why	Hyear whai yorra vit rol hierle  —EXEC_HARMONIOUS_FUSION/.	Central Standard Note
whalt	conj.	what		Unknown [Unofficial]
wharn	n.	arm	elle nnoi na haf yasra wharn  —EXEC_SPHILIA/.	Central Standard Note
whou	conj.	who, person who ~	Was ki ra revatail whou Metafalica crushue Mule  —EXEC_HARMONIOUS	Central Standard Note
wi	conj.	that, the one there	Wee yea ra hymme hymmnos harmon en syast et wi powel  —Singing Hill - Harmonics FRELIA	Central Standard Note
wiaa		(unknown meaning)		
wiene	n.	melody, tone, timbre	Wee ki ra selena anw yasra wiene  —EXEC_CHRONICLE KEY	Unknown [Unofficial]
willie	adj.	weak, transient	willie en pitod re heighte  —Colors~SEN~Will This Flower Bloom?	Central Standard Note
wim	n.	girl, daughter	Rrha ki ra tek wim tes yor  —EXEC_LINKER	Central Standard Note
